书名,作者,更新到,简介,详细连接,封面图
斗破苍穹,天蚕土豆,新书大主宰已发。,"""这里是属于斗气的世界，没有花俏艳丽的魔法，有的，仅仅是繁衍到巅峰的斗气！本书等级制度：斗者，斗师，大...?详细>>""",http://book.km.com/shuku/165352.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
女总裁的贴身兵王,黑夜不寂寞,第3373章　强势出击！！,"""他是华夏超级兵王，更是让所有势力恐惧的“战龙”老大。他重回都市，游戏人间。身边聚集了女神级美女老婆、...?详细>>""",http://book.km.com/shuku/1285266.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
万古天帝,第一神,第4192章　惊世龙吟,"""天界第一战神，重生百年之后。破苍穹，逆乾坤，凌万天，踏万界。开启一场与当世天才争锋角逐的逆天之旅。这...?详细>>""",http://book.km.com/shuku/1343939.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
武炼巅峰,莫默,第四千一百九十七章 大阵成,"""武之巅峰，是孤独，是寂寞，是漫漫求索，是高处不胜寒逆境中成长，绝地里求生，不屈不饶，才能堪破武之极道...?详细>>""",http://book.km.com/shuku/184973.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
近身兵王,月下吟,第2559章  轮回,"""超级兵王秦渊，卸甲归田重回都市，将当年的谜题一一解开！曾经扬名世界的兵王，让所有人为之折服！?详细>>""",http://book.km.com/shuku/710018.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
斗罗大陆,唐家三少,第二百三十六章 大结局，最后一个条件（全书完）,"""唐门外门弟子唐三，因偷学内门绝学为唐门所不容，跳崖明志时却发现没有死，反而以另外一个身份来到了另一个...?详细>>""",http://book.km.com/shuku/105570.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
我的极品女老师,肤浅失眠中,第五千七百二十二章 思思被怀疑,"""没有装逼泡妞技能的我受到了性感女班主任的各种刁难和捉弄，三天不打，上房揭瓦。忍无可忍，必须残忍。且看...?详细>>""",http://book.km.com/shuku/1336966.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
逍遥兵王,暗夜行走,第3026章　再三挑衅,"""洛天,华夏神秘军事部门的最强利刃，,针对国内国际敌对势力进行了恐怖的打击，,偶然一次意外,他失去了最...?详细>>""",http://book.km.com/shuku/1327158.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
极品全能学生,花都大少,第6843章 死也要坚守,"""【最火爆畅销书】一场车祸改变了我的屌丝人生。各种奇遇接连而来。考试满分，刮刮乐必中，篮球天才，游泳健...?详细>>""",http://book.km.com/shuku/1349770.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
校花的贴身高手,鱼人二代,第7029章 超实力吴淼,"""传奇杀手回归都市，奉旨保护校花！我是校花的贴身高手，你们最好离我远一点，不然大小姐又要吃醋了！?详细>>""",http://book.km.com/shuku/144183.html,http://img1.km.com/bookimg/public/pic/common/ajax-loading.gif
